DEPT,LITHOLOGY_GEOLINK,CALI,DRHO,NPHI,RHOB,PEF,GR,DTC,DTE,RDEP,SP,RSHA,RXO,RMED
503.23208618,,23.26599884,-0.017000001,,1.9937000275,1.0870000124,69.760215759,159.49699402,48612552.0,1.5452438593,24.650350571,1.3469808102,,1.3469808102
503.38449097,,23.26599884,-0.014,,1.9937000275,1.0950000286,71.866294861,159.49682617,48612216.0,1.718957901,24.899124146,1.3430913687,,1.3430913687
503.53689575,,23.26599884,-0.016000001,,1.9937000275,1.0939999819,70.053390503,159.46946716,48611876.0,1.6889859438,24.274999619,1.3619711399,,1.3619711399
503.68930054,,23.26599884,-0.016000001,,1.9937000275,1.1019999981,68.060188293,159.49699402,48611512.0,1.6789734364,24.275350571,1.3558597565,,1.3558597565
503.84170532,,23.26599884,-0.017999999,,1.9937000275,1.1100000143,67.507507324,159.49682617,48611176.0,1.6600064039,24.524799347,1.3278847933,,1.3278847933
503.99411011,,23.26599884,-0.016000001,,1.9937000275,1.1160000563,69.022216797,159.46946716,48610844.0,1.6639295816,24.400800705,1.3048897982,,1.3048897982
504.14648438,,23.26599884,-0.012,,1.9937000275,1.1269999743,73.446411133,159.49682617,48610508.0,1.6200112104,24.899517059,1.2828845978,,1.2828845978
504.29888916,,23.26599884,-0.006,,1.9937000275,1.1180000305,75.183494568,159.46946716,48610168.0,1.6279958487,24.555999756,1.2589230537,,1.2589230537
504.45129395,,23.26599884,-0.003,,1.9937000275,1.125,74.224769592,159.49699402,48609836.0,1.624984622,24.556875229,1.2429327965,,1.2429327965
504.60369873,,23.26599884,-0.002,,1.9937000275,1.1169999838,68.976570129,159.49682617,48609500.0,1.6139733791,25.181175232,1.2289758921,,1.2289758921
504.75610352,,23.26599884,-0.006,,1.9937000275,1.1169999838,64.123435974,159.46929932,48609164.0,1.5949743986,25.307601929,1.2239949703,,1.2239949703
504.9085083,,23.26599884,-0.009,,1.9937000275,1.1080000401,63.821445465,159.46946716,48608828.0,1.5789903402,26.303848267,1.2230300903,,1.2230300903
505.06091309,,23.26599884,-0.012,,1.9937000275,1.1009999514,65.501876831,159.49699402,48608496.0,1.5730015039,24.963399887,1.2290149927,,1.2290149927
505.21328735,,23.26599884,-0.008,,1.9937000275,1.0970000029,65.87890625,159.49699402,48608160.0,1.5740070343,25.213699341,1.231975913,,1.231975913
505.36569214,,23.26599884,-0.011,,1.9937000275,1.1030000448,66.690704346,159.49682617,48607824.0,1.5790041685,25.712123871,1.2270240784,,1.2270240784
505.51809692,,23.26599884,-0.011,,1.9937000275,1.1100000143,67.258110046,159.46946716,48607492.0,1.5820000172,25.088525772,1.2320144176,,1.2320144176
505.67050171,,23.26599884,-0.016000001,,1.9937000275,1.1130000353,68.927787781,159.49682617,48607156.0,1.5819790363,25.46229744,1.2350480556,,1.2350480556
505.82290649,,23.26599884,-0.014,,1.9937000275,1.1089999676,66.825202942,159.46946716,48606820.0,1.5669647455,24.962799072,1.2450050116,,1.2450050116
505.97531128,,23.26599884,-0.013,,1.9937000275,1.1169999838,69.248748779,159.49699402,48606452.0,1.5449758768,24.838600159,1.2459750175,,1.2459750175
506.12768555,,23.26599884,-0.015,,1.9937000275,1.1130000353,69.005409241,159.49699402,48606120.0,1.5300140381,25.211421967,1.240788579,,1.240788579
506.28009033,,23.26599884,-0.016000001,,1.9937000275,1.1039999723,70.128005981,159.49664307,48605784.0,1.5400140285,24.088525772,1.1968318224,,1.1968318224
506.43249512,,23.26599884,-0.017999999,,1.9937000275,1.0980000496,70.755409241,159.43759155,48605448.0,1.5500055552,24.463350296,1.1619807482,,1.1619807482
506.5848999,,23.26599884,-0.017999999,,1.9937000275,1.1039999723,71.870193481,159.46910095,48605112.0,1.5539929867,24.712604523,1.1581681967,,1.1581681967
506.73730469,,23.26599884,-0.016000001,,1.9937000275,1.1319999695,70.862083435,159.43759155,48604772.0,1.5489776134,24.43170166,1.1931730509,,1.1931730509
506.88970947,,23.26599884,-0.018999999,,1.9937006235,1.1449999809,68.177047729,159.46910095,48604440.0,1.5329807997,24.929597855,1.2290650606,,1.2290650606
507.04211426,,23.26599884,-0.017999999,,1.9938000441,1.1590000391,66.017211914,159.43739319,48604104.0,1.5210000277,24.056350708,1.2420250177,,1.2420250177
507.19448853,,23.26599884,-0.014,,1.9938000441,1.1640000343,69.435897827,159.43739319,48603768.0,1.5209902525,24.274999619,1.2469038963,,1.2469038963
507.34689331,,23.26599884,-0.009,,1.9938000441,1.1920000315,69.003005981,159.43739319,48603436.0,1.5139776468,24.274648666,1.2268317938,,1.2268317938
507.4992981,,23.26599884,-0.012,,1.9938000441,1.2109999657,69.614189148,159.43759155,48603100.0,1.4979832172,24.025699615,1.1917790174,,1.1917790174
507.65170288,,23.26599884,-0.014,,1.9938000441,1.2000000477,67.381912231,159.46929932,48602764.0,1.4859746695,24.524999619,1.145851016,,1.145851016
507.80410767,,23.26599884,-0.02,,1.9938000441,1.1499999762,68.813316345,159.46910095,48602428.0,1.4679706097,24.524999619,1.1149699688,,1.1149699688
507.95651245,,23.26599884,-0.016000001,,1.9938000441,1.1109999418,68.885635376,159.43739319,48602096.0,1.446980834,24.524799347,1.1090900898,,1.1090900898
508.10891724,,23.26599884,-0.016000001,,1.9938000441,1.0779999495,71.003440857,159.43759155,48601760.0,1.4349919558,24.402002335,1.1271151304,,1.1271151304
508.2612915,,23.26599884,-0.012,,1.9938000441,1.0670000315,71.678092957,159.46910095,48601392.0,1.4300125837,25.650350571,1.1500960588,,1.1500960588
508.41369629,,23.26599884,-0.01,,1.9938000441,1.0640000105,69.606376648,159.43739319,48601060.0,1.4390280247,25.899517059,1.1700671911,,1.1700671911
508.56610107,,23.26599884,-0.007,,1.9938000441,1.0750000477,65.746101379,159.43739319,48600724.0,1.4590280056,25.555999756,1.1840385199,,1.1840385199
508.71850586,,23.26599884,-0.008,,1.9938000441,1.0809999704,64.918388367,159.43742371,48600388.0,1.4790179729,25.555549622,1.1920192242,,1.1920192242
508.87091064,,23.26599884,-0.011,,1.9938000441,1.0859999657,60.791439056,159.44166565,48600052.0,1.4889945984,25.305267334,1.1960150003,,1.1960150003
509.02331543,,23.26599884,-0.015,,1.9938000441,1.0880000591,47.757846832,159.43739319,48599716.0,1.4859710932,24.901126862,1.199000001,,1.199000001
509.17572021,,23.26599884,-0.017000001,,1.9938000441,1.0900000334,47.127841949,159.43739319,48599380.0,1.4699513912,25.524999619,1.1990300417,,1.1990300417
509.32809448,,23.26599884,-0.014,,1.9938000441,1.0900000334,46.500751495,159.43739319,48599044.0,1.4429631233,25.52519989,1.2048990726,,1.2048990726
509.48049927,,23.26599884,-0.017999999,,1.9938000441,1.0900000334,46.657501221,159.43759155,48598708.0,1.4199646711,25.650249481,1.1838846207,,1.1838846207
509.63290405,,23.26599884,-0.014,,1.9938000441,1.0909999609,46.974258423,159.46929932,48598376.0,1.3979855776,25.804197311,1.159817338,,1.159817338
509.78530884,,23.26599884,-0.014,,1.9938000441,1.0880000591,48.051582336,159.46910095,48598040.0,1.3889838457,24.683477402,1.1219375134,,1.1219375134
509.93771362,,23.26599884,-0.013,,1.9938000441,1.0800000429,45.680770874,159.43739319,48597704.0,1.3799802065,26.055774689,1.1090250015,,1.1090250015
510.09011841,,23.26599884,-0.016000001,,1.9938000441,1.0720000267,44.23317337,159.43739319,48597368.0,1.3689801693,25.930831909,1.1141051054,,1.1141051054
510.24252319,,23.26599884,-0.017000001,,1.9938000441,1.0659999847,42.094936371,159.43739319,48597036.0,1.3579820395,25.838167191,1.1351151466,,1.1351151466
510.39489746,,23.26599884,-0.017999999,,1.9938000441,1.074000001,44.871868134,159.43722534,48596668.0,1.3479888439,25.929798126,1.158072114,,1.158072114
510.54730225,,23.26599884,-0.016000001,,1.9938000441,1.0820000172,46.30884552,159.40969849,48596332.0,1.3409935236,25.182601929,1.1730480194,,1.1730480194
510.69970703,,23.26599884,-0.017999999,,1.9938000441,1.0880000591,49.386547089,159.40988159,48595996.0,1.3369967937,26.180950165,1.1829663515,,1.1829663515
510.85211182,,23.26599884,-0.017000001,,1.9938000441,1.0880000591,50.113052368,159.43739319,48595664.0,1.3349946737,26.150054932,1.1759231091,,1.1759231091
511.0045166,,23.26599884,-0.016000001,,1.9938000441,1.0950000286,48.455036163,159.43739319,48595328.0,1.3319928646,26.182126999,1.1599148512,,1.1599148512
511.15692139,,23.26599884,-0.015,,1.9938000441,1.1069999933,45.870811462,159.43739319,48594992.0,1.3279873133,26.804872513,1.1429399252,,1.1429399252
511.30929565,,23.26599884,-0.012,,1.9938006401,1.0980000496,44.240276337,159.43739319,48594656.0,1.3209840059,26.181350708,1.130990386,,1.130990386
511.46170044,,23.26599884,-0.014,,1.9938999414,1.0800000429,43.676368713,159.43722534,48594324.0,1.3109840155,26.400600433,1.1290287971,,1.1290287971
511.61410522,,23.26599884,-0.014,,1.9938999414,1.0650000572,43.755813599,159.40969849,48593984.0,1.3009855747,26.775800705,1.1350144148,,1.1350144148
511.76651001,,23.26599884,-0.012,,1.9938999414,1.0659999847,44.340312958,159.40988159,48593648.0,1.2919903994,27.274398804,1.1380096674,,1.1380096674
511.91891479,,23.26599884,-0.015,,1.9938999414,1.067999959,44.623497009,159.43739319,48593312.0,1.2859873772,26.898872375,1.1399952173,,1.1399952173
512.07128906,,23.26599884,-0.015,,1.9938999414,1.0650000572,47.005664825,159.43742371,48592980.0,1.2789936066,26.275850296,1.1389759779,,1.1389759779
512.22369385,,23.26599884,-0.017000001,,1.9938999414,1.0629999638,47.343521118,159.44166565,48592644.0,1.2749935389,26.805999756,1.1339951754,,1.1339951754
512.37609863,,23.26599884,-0.012,,1.9938999414,1.0759999752,45.990116119,159.43739319,48592308.0,1.270988822,26.805999756,1.1329615116,,1.1329615116
512.52850342,,23.26599884,-0.008,,1.9938999414,1.0870000124,43.528575897,159.43739319,48591976.0,1.2639904022,26.806600571,1.1249759197,,1.1249759197
512.6809082,,23.26599884,-0.008,,1.9938999414,1.0880000591,43.448898315,159.43739319,48591608.0,1.2579920292,27.180650711,1.1199759245,,1.1199759245
512.83331299,,23.26599884,-0.009,,1.9938999414,1.0800000429,45.088886261,159.43739319,48591272.0,1.2529935837,26.962799072,1.1149567366,,1.1149567366
512.98571777,,23.26599884,-0.015,,1.9938999414,1.07099998,46.092182159,159.43739319,48590936.0,1.2489951849,26.838748932,1.105961442,,1.105961442
513.13806152,,23.26599884,-0.016000001,,1.9938999414,1.0670015812,44.251567841,159.43739319,48590604.0,1.2460024357,27.30524826,1.0979912281,,1.0979912281
