DEPT,LITHOLOGY_GEOLINK,CALI,DRHO,NPHI,RHOB,PEF,GR,DTC,DTE,RDEP,SP,RSHA,RMED
193.37397766,,24.078001022,,,1.7999999523,,13.646639824,179.83680725,178.71861267,0.5680037141,-38.75553894,0.3269999921,1.0549999475
193.52638245,,24.078001022,,,1.7999999523,,13.277095795,179.83929443,178.71861267,0.5691741109,-32.66950607,0.1889999956,0.6140000224
193.67877197,,24.062999725,,,1.7999999523,,12.22573185,179.83650208,178.71861267,0.6159603596,-20.39750671,0.174999997,0.5770000219
193.83117676,,24.062999725,,,1.7999999523,,11.867678642,179.83680725,178.71861267,0.6058615446,-10.31496906,0.2879999876,0.6169999838
193.98358154,,24.078001022,,,1.7999999523,,9.85160923,179.84072876,178.71861267,0.8437258601,-11.98387051,0.2210000008,0.8920000196
194.13598633,,24.062999725,,,1.7999999523,,11.89684391,179.84986877,178.71861267,0.7697777152,-17.06559753,0.1930000037,0.6679999828
194.28837585,,24.062999725,,,1.7999999523,,11.598335266,179.83680725,178.71861267,0.7100071907,-18.83177757,0.175999999,0.5619999766
194.44078064,,24.062999725,,,1.7999999523,,14.999172211,179.83929443,178.71861267,0.7120259404,-16.52253342,0.1920000017,0.5749999881
194.59318542,,24.078001022,,,1.7999999523,,12.623725891,179.83650208,178.71861267,0.7189110518,-6.718241692,0.2150000036,0.6610000134
194.74557495,,24.078001022,,,1.7999999523,,12.276130676,179.83650208,178.71861267,0.6948882341,-7.602164745,0.2210000008,0.6919999719
194.89797974,,24.078001022,,,1.7999999523,,10.944700241,179.83680725,178.71861267,0.6640396118,-11.00949669,0.2269999981,0.7390000224
195.05038452,,24.078001022,,,1.7999999523,,15.011790276,179.83929443,178.71861267,0.6750407815,-23.31316757,0.2199999988,0.6669999957
195.20278931,,24.062999725,,,1.7999999523,,16.030855179,179.83650208,178.71861267,0.686029613,-24.44534683,0.2240000069,0.6769999862
195.35517883,,24.062999725,,,1.7999999523,,15.978510857,179.83680725,178.71861267,0.6939964294,-27.49981499,0.2090000063,0.6710000038
195.50758362,,24.078001022,,,1.7999999523,,12.247454643,179.83929443,178.71861267,0.6929889321,-28.2536869,0.1879999936,0.6710000038
195.6599884,,24.078001022,,,1.7999999523,,11.560565948,179.8379364,178.71861267,0.6900444627,-21.73410416,0.2129999995,0.6850000024
195.81237793,,24.078001022,,,1.7999999523,,10.905945778,179.85017395,178.71861267,0.7019783854,-26.87627792,0.2380000055,0.699000001
195.96478271,,24.062999725,,,1.7999999523,,10.895898819,179.83929443,178.71861267,0.695967555,-28.05652428,0.2080000043,0.6940000057
196.1171875,,24.078001022,,,1.7999999523,,12.252548218,179.83650208,178.71861267,0.6869740486,-27.339468,0.1959999949,0.6470000148
196.26957703,,24.078001022,,,1.7999999523,,12.94546032,179.83680725,178.71861267,0.6800216436,-18.59901047,0.2090000063,0.6669999957
196.42198181,,24.078001022,,,1.7999999523,,15.00924015,179.83929443,178.71861267,0.6859999895,-21.13100433,0.2339999974,0.6529999971
196.5743866,,24.078001022,,,1.7999999523,,15.353244781,179.83650208,178.71861267,0.6860370636,-32.45504761,0.2280000001,0.621999979
196.72679138,,24.078001022,,,1.7999999523,,15.684062004,179.83680725,178.71861267,0.6960222125,-29.78239632,0.2300000042,0.6100000143
196.87918091,,24.078001022,,,1.7999999523,,14.627365112,179.83929443,178.71861267,0.7020216584,-30.9717598,0.2220000029,0.5970000029
197.03158569,,24.078001022,,,1.7999999523,,15.278425217,179.83650208,178.71861267,0.7080036998,-32.84092712,0.2240000069,0.5799999833
197.18399048,,24.062999725,,,1.7999999523,,14.587215424,179.83650208,178.71861267,0.7089999914,-33.09069824,0.2269999981,0.5849999785
197.33638,,24.078001022,,,1.7999999523,,14.913970947,179.83824158,178.71861267,0.7089964151,-33.26786041,0.2179999948,0.5789999962
197.48878479,,24.078001022,,,1.7999999523,,14.914506912,179.85275269,178.71861267,0.7081333995,-30.43886566,0.2140000015,0.5749999881
197.64118958,,24.078001022,,,1.7999999523,,17.267505646,179.83650208,178.71861267,0.7448999882,-23.22287178,0.2230000049,0.5699999928
197.79359436,,24.062999725,,,1.7999999523,,17.667137146,179.83680725,178.71861267,0.7179889083,-25.33814812,0.2220000029,0.5149999857
197.94598389,,24.078001022,,,1.7999999523,,16.345623016,179.83929443,178.71861267,0.7150143981,-24.83909988,0.2269999981,0.6869999766
198.09838867,,24.078001022,,,1.7999999523,,12.650463104,179.83650208,178.71861267,0.7190407515,-24.60609436,0.2319999933,0.6869999766
198.25079346,,24.078001022,,,1.7999999523,,13.316730499,179.83680725,178.71861267,0.7300333381,-28.95742035,0.2339999974,0.6769999862
198.40318298,,24.078001022,,,1.7999999523,,14.327518463,179.83929443,178.71861267,0.739018023,-35.09903336,0.2360000014,0.6819999814
198.55558777,,24.062999725,,,1.7999999523,,16.403577805,179.83650208,178.71861267,0.7439351082,-37.53964996,0.2319999933,0.6560000181
198.70799255,,24.078001022,,,1.7999999523,,15.727463722,179.83680725,178.71861267,0.7259629369,-40.59047699,0.2310000062,0.6439999938
198.86039734,,24.078001022,,,1.7999999523,,14.016950607,179.83929443,178.71861267,0.7159885764,-40.72665405,0.2360000014,0.6560000181
199.01278687,,24.078001022,,,1.7999999523,,14.261955261,179.8379364,178.71861267,0.7130342126,-43.76872253,0.2349999994,0.6409999728
199.16519165,,24.078001022,,,1.7999999523,,13.209570885,179.85017395,178.71861267,0.7220190167,-41.33833694,0.2360000014,0.6290000081
199.31759644,,24.062999725,,,1.7999999523,,14.923727036,179.83929443,178.71861267,0.7270228267,-40.90490341,0.2300000042,0.6100000143
199.46998596,,24.062999725,,,1.7999999523,,13.286124229,179.83650208,178.71861267,0.733014822,-41.4078598,0.2199999988,0.5950000286
199.62239075,,24.078001022,,,1.7999999523,,14.661294937,179.83650208,178.71861267,0.7370342016,-42.70168304,0.2220000029,0.5920000076
199.77479553,,24.062999725,,,1.7999999523,,13.951664925,179.83680725,178.71861267,0.7459847927,-39.2333107,0.2179999948,0.5860000253
199.92718506,,24.062999725,,,1.7999999523,,13.595631599,179.83929443,178.71861267,0.7419444323,-44.03517532,0.2259999961,0.6050000191
200.07958984,,24.078001022,,,1.7999999523,,11.887041092,179.83650208,178.71861267,0.7269353271,-45.97332382,0.2240000069,0.625
200.23199463,,24.078001022,,,1.7999999523,,12.945030212,179.83680725,178.71861267,0.7099695206,-48.1475296,0.224999994,0.6380000114
200.38439941,,24.078001022,,,1.7999999523,,12.954248428,179.83929443,178.71861267,0.7019923925,-46.7040596,0.2210000008,0.6200000048
200.53678894,,24.062999725,,,1.7999999523,,13.27951622,179.83650208,178.71861267,0.7000798583,-43.77722549,0.1979999989,0.5699999928
200.68919373,,24.078001022,,,1.7999999523,,12.893526077,179.83824158,178.71861267,0.7210152149,-27.38304138,0.2179999948,0.5410000086
200.84159851,,24.078001022,,,1.7999999523,,13.557496071,179.85273743,178.71861267,0.7250114083,-38.65751648,0.2080000043,0.52700001
200.99398804,,24.078001022,,,1.7999999523,,14.199682236,179.83650208,178.71861267,0.7279925942,-39.8446312,0.2109999955,0.5249999762
201.14639282,,24.078001022,,,1.7999999523,,11.15596962,179.83680725,178.71861267,0.7259961963,-41.09142685,0.2140000015,0.5249999762
201.29879761,,24.078001022,,,1.7999999523,,11.145622253,179.83929443,178.71861267,0.7249733806,-41.47237396,0.2060000002,0.5450000167
201.45120239,,24.078001022,,,1.7999999523,,10.536111832,179.83650208,178.71861267,0.7179428935,-43.40703964,0.2070000023,0.5860000253
201.60359192,,24.062999725,,,1.7999999523,,13.969087601,179.83680725,178.71861267,0.7029886246,-44.46809387,0.2140000015,0.6269999743
201.7559967,,24.078001022,,,1.7999999523,,13.990572929,179.83929443,178.71861267,0.6999961734,-45.27705002,0.2150000036,0.65200001
201.90840149,,24.062999725,,,1.7999999523,,13.614264488,179.83650208,178.71861267,0.6990038157,-45.0194397,0.2169999927,0.6370000243
202.06079102,,24.078001022,,,1.7999999523,,12.900489807,179.83680725,178.71861267,0.6999889016,-42.77452469,0.2189999968,0.5989999771
202.2131958,,24.078001022,,,1.7999999523,,13.576509476,179.83929443,178.71861267,0.696996212,-41.83809662,0.1909999996,0.5699999928
202.36560059,,24.078001022,,,1.7999999523,,15.281000137,179.8379364,178.71861267,0.6960151792,-41.28923416,0.1930000037,0.5389999747
202.51799011,,24.062999725,,,1.7999999523,,15.280885696,179.84986877,178.71861267,0.699955523,-28.02165985,0.1829999983,0.5199999809
202.67037964,,24.078001022,,,1.7999999523,,15.243602753,179.83680725,178.71861267,0.6880296469,-34.66526794,0.1710012108,0.485003531
202.82278442,,24.078001022,,,1.7999999523,,13.524303436,179.83929443,178.71861267,0.6959295869,-37.95458221,0.173999995,0.4620000124
202.97517395,,24.078001022,,,1.7999999523,,13.876409531,179.83650208,178.71861267,0.6769819856,-35.17440033,0.1790000051,0.3970000148
203.12757874,,24.047000885,,,1.7999999523,,14.264928818,179.83680725,178.71861267,0.672018528,-41.07796097,0.175999999,0.3910000026
203.27998352,,24.078001022,,,1.7999999523,,13.976970673,179.83929443,178.71861267,0.6770036817,-37.85088348,0.1780000031,0.3840000033
203.43237305,,24.078001022,,,1.7999999523,,13.964015007,179.83650208,178.71861267,0.6781333089,-40.79985046,0.1889999956,0.375
203.58477783,,24.078001022,,,1.7999999523,,12.585971832,179.83680725,178.71861267,0.7150684595,-46.847435,0.1819999963,0.3810000122
203.73718262,,24.078001022,,,1.7999999523,,12.576869965,179.83929443,178.71861267,0.7339667082,-48.89929581,0.1949999928,0.2949999869
203.8895874,,24.078001022,,,1.7999999523,,12.276852608,179.8379364,178.71861267,0.7247814536,-47.91735458,0.1909999996,0.3129999936
204.04197693,,24.078001022,,,1.7999999523,,13.318940163,179.85017395,178.71861267,0.666064918,-51.77033997,0.2179999948,0.503000021
204.19438171,,24.078001022,,,1.7999999523,,14.962100983,179.83929443,178.71861267,0.6842037439,-49.63725662,0.3140000105,0.7059999704
204.3467865,,24.078001022,,,1.7999999523,,15.254062653,179.83650208,178.71861267,0.7392000556,-45.34627533,0.3219999969,0.7129999995
204.49917603,,24.078001022,,,1.7999999523,,14.195169449,179.83680725,178.71861267,0.7929567099,-30.05508423,0.1920000017,0.5820000172
204.65158081,,24.062999725,,,1.7999999523,,14.235889435,179.83929443,178.71861267,0.7811658382,-20.42192459,0.2099999934,0.5450000167
204.8039856,,24.078001022,,,1.7999999523,,12.552063942,179.83650208,178.71861267,0.8273778558,-25.61722946,0.4819999933,0.9229999781
204.95639038,,24.062999725,,,1.7999999523,,13.908935547,179.83650208,178.71861267,0.9288740754,-15.97060585,0.4909999967,0.9919999838
205.10877991,,24.078001022,,,1.7999999523,,12.547111511,179.83680725,178.71861267,0.8949134946,-8.866592407,0.1529999971,0.5569999814
205.26118469,,24.062999725,,,1.7999999523,,12.573081017,179.83929443,178.71861267,0.8712778091,-7.407770157,0.1350000054,0.3219999969
205.41358948,,24.078001022,,,1.7999999523,,11.252574921,179.83650208,178.71861267,0.9458036423,-17.05057526,0.1270000041,0.3030000031
205.565979,,24.062999725,,,1.7999999523,,11.947479248,179.83824158,178.71861267,0.8926250935,-23.13675308,0.1630000025,0.4979999959
205.71838379,,24.078001022,,,1.7999999523,,12.635430336,179.85275269,178.71861267,0.7884442806,-27.26917839,0.1580000073,0.7080000043
205.87078857,,24.078001022,,,1.7999999523,,13.290159225,179.83650208,178.71861267,0.6391370893,-41.87033081,0.1679999977,0.8379999995
206.0231781,,24.078001022,,,1.7999999523,,13.603124619,179.83680725,178.71861267,0.6763352156,-50.05187988,0.1599999964,0.800999999
206.17558289,,24.078001022,,,1.7999999523,,13.917691231,179.83929443,178.71861267,0.7693460584,-56.66493988,0.1770000011,0.8820000291
206.32798767,,24.078001022,,,1.7999999523,,14.936666489,179.83650208,178.71861267,0.8649555445,-59.95573807,0.1710000038,1.0520000458
206.48039246,,24.062999725,,,1.7999999523,,14.571865082,179.83680725,178.71861267,0.852788806,-57.46777725,0.1620000005,0.9710000157
206.63278198,,24.078001022,,,1.7999999523,,12.918196678,179.83929443,178.71861267,0.795848608,-58.20013046,0.1659999937,0.8999999762
206.78518677,,24.062999725,,,1.7999999523,,11.863325119,179.83650208,178.71861267,0.7539963126,-54.11130142,0.1599999964,0.8180000186
206.93759155,,24.078001022,,,1.7999999523,,10.879919052,179.83680725,178.71861267,0.7530037165,-59.8416214,0.1650000066,0.8050000072
207.08998108,,24.062999725,,,1.7999999523,,12.200606346,179.83929443,178.71861267,0.7540035844,-60.26132965,0.1770000011,0.7960000038
207.24238586,,24.078001022,,,1.7999999523,,11.540153503,179.8379364,178.71861267,0.7549675703,-55.65435028,0.1870000064,0.7919999957
