DEPT,LITHOLOGY_GEOLINK,CALI,DRHO,SGR,NPHI,RHOB,PEF,GR,DTC,DTE,RDEP,SP,RSHA,RMED
1105.4434814,,17.593999863,,,,2.3314824104,,46.368492126,139.64028931,156.47358704,1.8749984503,51.611000061,0.2099999934,1.9380447865
1105.5959473,,17.593999863,,,,2.3326513767,,42.316303253,139.24516296,156.12072754,1.8739999533,51.736225128,0.2119847834,1.9660624266
1105.748291,,17.625,,,,2.3344466686,,43.689453125,138.89631653,155.57843018,1.873993516,52.018001556,0.1930000037,1.9919743538
1105.9007568,,17.625,,,,2.3356740475,,44.603157043,138.53573608,155.19651794,1.8699928522,52.174674988,0.2839799821,1.9759398699
1106.0531006,,17.625,,,,2.3355133533,,48.407653809,138.55163574,155.24456787,1.8669840097,53.018001556,0.2590000033,1.9509614706
1106.2054443,,17.625,,,,2.3338534832,,49.439804077,138.94299316,155.75784302,1.8569808006,53.268001556,0.2029999942,1.9270273447
1106.3579102,,17.625,,,,2.3313117027,,50.563674927,139.69494629,156.52038574,1.8449543715,53.330001831,0.1840000004,1.9439543486
1106.5102539,,17.625,,,,2.3301587105,,50.844604492,139.97634888,156.87451172,1.8259743452,53.580001831,0.2090000063,1.9248589277
1106.6627197,,17.625,,,,2.3341765404,,51.219150543,138.90290833,155.67320251,1.8099519014,53.360374451,0.2070536464,1.836961627
1106.8150635,,17.625,,,,2.3458387852,,51.279296875,135.79924011,152.24014282,1.7899999619,52.580001831,0.273999989,1.8210833073
1106.9675293,,17.625,,,,2.3557062149,,50.213298798,133.23977661,149.33055115,1.7900383472,52.080276489,0.2400047928,1.8731513023
1107.119873,,17.625,,,,2.357622385,,47.840145111,132.83103943,148.76966858,1.8060512543,52.423999786,0.2460000068,1.9359502792
1107.2723389,,17.625,,,,2.3577547073,,45.449108124,132.75883484,148.73666382,1.8381057978,52.798801422,0.2099999934,1.904961586
1107.4246826,,17.625,,,,2.3593466282,,50.063301086,132.27818298,148.28501892,1.8821073771,52.548999786,0.2099999934,1.8890000582
1107.5771484,,17.625,,,,2.3731908798,,50.254878998,129.16911316,144.67199707,1.9490840435,52.673973083,0.1740088016,1.8892378807
1107.7294922,,17.625,,,,2.4207208157,,52.271934509,118.64884186,133.02688599,1.9840320349,52.643001556,0.1850000024,1.9882516861
1107.881958,,17.625,,,,2.4921722412,,46.630477905,104.07800293,116.67771149,2.0040335655,52.768127441,0.1670040041,2.1453843117
1108.0343018,,17.625,,,,2.5413968563,,48.903945923,94.873596191,106.31362915,2.0180239677,52.923999786,0.1720000058,2.3048863411
1108.1866455,,17.625,,,,2.5516505241,,47.628002167,93.054740906,104.28147888,2.033028841,53.330001831,0.2529999912,2.2336909771
1108.3391113,,17.625,,,,2.5247528553,,49.499851227,97.936546326,109.70999146,2.0509905815,54.111000061,0.201000005,2.0408685207
1108.4914551,,17.625,,,,2.4651477337,,49.403495789,109.28308105,122.49007416,2.0449569225,53.580001831,0.1800000072,1.9589455128
1108.6439209,,17.625,,,,2.4076938629,,47.839946747,121.08061218,135.72344971,2.0178654194,52.985923767,0.1869759858,1.9249831438
1108.7962646,,17.625,,,,2.3811497688,,46.154247284,126.98984528,142.29104614,1.9619134665,52.893001556,0.1570000052,1.9180111885
1108.9487305,,17.625,,,,2.373906374,,45.062099457,128.69664001,144.21464539,1.9079567194,53.236801147,0.1660111994,1.9249687195
1109.1010742,,17.625,,,,2.3703711033,,44.686145782,129.47796631,145.19830322,1.8899759054,54.236000061,0.1800000072,1.9120287895
1109.25354,,17.625,,,,2.3661971092,,43.536327362,130.63529968,146.39459229,1.8749976158,54.455226898,0.1629952043,1.9300383329
1109.4058838,,17.625,,,,2.3543748856,,45.754455566,133.71208191,149.79544067,1.874001503,54.736000061,0.1570000052,1.946007967
1109.5583496,,17.625,,,,2.3411457539,,48.536403656,137.10282898,153.60401917,1.8750120401,54.798698425,0.1500080079,1.951031208
1109.7106934,,17.625,,,,2.3358802795,,50.778694153,138.41639709,155.14558411,1.8799952269,54.423999786,0.1599999964,1.9639422894
1109.8631592,,17.625,,,,2.333032608,,49.350833893,139.30686951,156.01272583,1.8769952059,54.142402649,0.1689823866,1.9279183149
1110.0155029,,17.625,,,,2.3312399387,,52.187446594,139.71472168,156.55175781,1.8749984503,53.393001556,0.1469999999,1.8939776421
1110.1679688,,17.625,,,,2.3305902481,,51.838745117,139.95114136,156.74624634,1.8740023375,53.298900604,0.1410000026,1.8800432682
1110.3203125,,17.641000748,,,,2.3317372799,,49.650588989,139.64019775,156.39685059,1.8750015497,53.173999786,0.1410000026,1.8979855776
1110.4726563,,17.625,,,,2.3342649937,,46.277393341,138.78399658,155.62359619,1.8760015965,53.173999786,0.1270000041,1.8890336752
1110.6251221,,17.625,,,,2.3366787434,,44.031150818,138.30036926,154.8888092,1.8770047426,53.736526489,0.1549783796,1.9100863934
1110.7774658,,17.656000137,,,,2.3387465477,,44.093852997,137.75544739,154.28263855,1.8789951801,54.393001556,0.1280000061,1.9460673332
1110.9299316,,17.593999863,,,,2.3390452862,,44.004428864,137.52610779,154.20388794,1.8760168552,55.173374176,0.1590672433,1.9879567623
1111.0822754,,17.593999863,,,,2.3356752396,,45.84545517,138.51954651,155.20068359,1.8830208778,54.393001556,0.2430000007,1.9699038267
1111.2347412,,17.593999863,,,,2.3311424255,,46.74962616,139.82719421,156.57693481,1.8960239887,53.7356987,0.2819631696,1.9099183083
1111.387085,,17.593999863,,,,2.3284761906,,46.595806122,140.40444946,157.38789368,1.9060224295,53.361000061,0.2360000014,1.8759871721
1111.5395508,,17.593999863,,,,2.327381134,,47.720729828,140.75361633,157.72354126,1.9200288057,52.829727173,0.1870032102,1.867983222
1111.6918945,,17.593999863,,,,2.328127861,,48.437297821,140.56524658,157.49697876,1.9320224524,52.486000061,0.1909999996,1.8610624075
1111.8443604,,17.593999863,,,,2.3331990242,,47.999923706,139.18959045,155.97245789,1.9460527897,52.205303192,0.2200032026,1.9000864029
1111.9967041,,17.593999863,,,,2.3416380882,,47.965446472,136.97386169,153.45214844,1.9680401087,52.580001831,0.2240000069,1.9360736609
1112.1491699,,17.593999863,,,,2.3491957188,,45.75863266,134.95109558,151.20820618,1.9930672646,52.955600739,0.2339663655,1.9821032286
1112.3015137,,17.593999863,,,,2.3543577194,,49.343551636,133.59539795,149.71224976,2.0210607052,53.705001831,0.1920000017,2.0250096321
1112.4538574,,17.593999863,,,,2.3594207764,,49.067707062,132.21862793,148.25823975,2.0590305328,54.361000061,0.1550000012,2.0310127735
1112.6062012,,17.593999863,,,,2.3648495674,,51.994297028,130.89193726,146.72241211,2.0780465603,54.736000061,0.1609999985,2.0390064716
1112.758667,,17.593999863,,,,2.3697342873,,48.436946869,129.74382019,145.36465454,2.1070258617,55.361000061,0.1770000011,2.0430784225
1112.9110107,,17.593999863,,,,2.374972105,,47.780197144,128.49205017,143.92747498,2.1230192184,57.268001556,0.2329999954,2.0920193195
1113.0634766,,17.593999863,,,,2.3792157173,,47.282802582,127.38084412,142.77854919,2.1350207329,58.268001556,0.2549999952,2.1039743423
1113.2158203,,17.593999863,,,,2.3796362877,,48.401294708,127.40439606,142.66172791,2.1480193138,58.611000061,0.1780000031,2.0879440308
1113.3682861,,17.593999863,,,,2.375556469,,45.469100952,128.23207092,143.76904297,2.1600065231,58.736000061,0.1589999944,2.0529518127
1113.5206299,,17.593999863,,,,2.3710002899,,45.528396606,129.44120789,145.00828552,2.1640000343,58.830001831,0.1780000031,2.0230288506
1113.6730957,,17.593999863,,,,2.3657472134,,43.909755707,130.67727661,146.48977661,2.1639807224,59.080001831,0.2290000021,2.041028738
1113.8254395,,17.077999115,,,,2.3587007523,,46.246349335,132.51094055,148.47669983,2.1519823074,58.580001831,0.2319999933,2.0590689182
1113.9777832,,17.593999863,,,,2.3553001881,,43.969051361,133.34552002,149.43658447,2.1409871578,58.580001831,0.2599775791,2.1020057201
1114.130249,,17.593999863,,,,2.3555731773,,44.03319931,133.26280212,149.3480072,2.1249744892,58.798999786,0.2179999948,2.1089918613
1114.2825928,,17.562999725,,,,2.355877161,,45.405921936,133.21556091,149.27716064,2.108992815,58.580177307,0.1640432328,2.1039743423
1114.4350586,,17.608999252,,,,2.358219862,,45.311347961,132.56330872,148.6036377,2.0999646187,58.173999786,0.1640000045,2.0719406605
1114.5874023,,17.593999863,,,,2.3576638699,,44.282276154,132.83184814,148.7828064,2.0779905319,57.768001556,0.2430000007,2.0349535942
