DEPT,LITHOLOGY_GEOLINK,CALI,DRHO,NPHI,RHOB,PEF,GR,DTC,DTS,RDEP,SP,RSHA,RMED
1053.5,,18.299999237,-1.131999969,,1.432000041,22.049999237,47.722000122,56.800003052,,1.2180000544,-14.80000019,,0.200000003
1053.625,,18.299999237,-1.126999974,,1.4450000525,23.091999054,47.786998749,56.800003052,,1.2150000334,-14.80000019,,0.200000003
1053.75,,18.299999237,-1.121000051,,1.4559999704,24.450000763,47.799999237,56.800003052,,1.2130000591,-14.80000019,,0.200000003
1053.875,,18.298999786,-1.116000056,,1.4589999914,25.068000793,47.426998138,56.800003052,,1.2109999657,-14.80000019,,0.200000003
1053.9998779,,18.291999817,-1.111999989,,1.4620000124,23.7689991,46.63299942,56.800003052,,1.2079999447,-14.80000019,,0.200000003
1054.1248779,,18.280000687,-1.111999989,,1.4730000496,22.535999298,45.674999237,56.800003052,,1.2039999962,-14.80000019,,0.200000003
1054.2498779,,18.26499939,-1.123999953,,1.4809999466,21.947000504,45.346000671,56.800003052,,1.2000000477,-14.80000019,,0.200000003
1054.3751221,,18.253000259,-1.156000018,,1.4830000401,22.013999939,45.319999695,56.800003052,,1.2000000477,-14.80000019,,0.200000003
1054.5001221,,18.252000809,-1.210999966,,1.4819999933,22.336000443,46.090999603,56.800003052,,1.2020000219,-14.80000019,,0.200000003
1054.6251221,,18.270000458,-1.271999955,,1.4859999418,22.658000946,47.342998505,56.800003052,,1.2120000124,-14.80000019,,0.200000003
1054.75,,18.299999237,-1.300999999,,1.4980000257,22.832000732,48.713001251,56.800003052,,1.2289999723,-14.80000019,,0.200000003
1054.875,,18.333000183,-1.289999962,,1.5089999437,22.912000656,49.942001343,56.800003052,,1.2430000305,-14.80000019,,0.200000003
1055.0,,18.361999512,-1.256000042,,1.5130000114,22.986000061,51.13999939,56.800003052,,1.2519999743,-14.80000019,,0.200000003
1055.125,,18.384000778,-1.220999956,,1.506000042,23.11000061,52.073001862,56.800003052,,1.2589999437,-14.80000019,,0.200000003
1055.2498779,,18.395000458,-1.203999996,,1.4889999628,23.263999939,52.937000275,56.800003052,,1.2649999857,-14.80000019,,0.200000003
1055.3748779,,18.399000168,-1.207000017,,1.4689999819,23.315000534,53.803001404,56.800003052,,1.2719999552,-14.80000019,,0.200000003
1055.5001221,,18.399999619,-1.210999966,,1.4539999962,23.23500061,54.633998871,56.800003052,,1.2849999666,-14.80000019,,0.200000003
1055.6251221,,18.399999619,-1.213000059,,1.442999959,23.072999954,55.210998535,56.800003052,,1.3059999943,-14.80000019,,0.200000003
1055.7501221,,18.399999619,-1.213000059,,1.4359999895,22.879999161,53.283000946,56.800003052,,1.3109999895,-14.80000019,,0.200000003
1055.875,,18.399999619,-1.210000038,,1.4329999685,22.702999115,51.584999084,56.800003052,,1.3020000458,-14.80000019,,0.200000003
1056.0,,18.399999619,-1.202000022,,1.4359999895,22.545000076,51.133998871,56.800003052,,1.2879999876,-14.80000019,,0.200000003
1056.125,,18.400999069,-1.190000057,,1.44599998,22.3939991,51.588001251,56.800003052,,1.2719999552,-14.80000019,,0.200000003
1056.25,,18.405000687,-1.175999999,,1.4589999914,22.250999451,51.535999298,56.800003052,,1.2569999695,-14.80000019,,0.200000003
1056.3748779,,18.415000916,-1.161000013,,1.4739999771,22.101999283,50.082000732,56.800003052,,1.2569999695,-14.80000019,,0.200000003
1056.4998779,,18.430999756,-1.146000028,,1.4869999886,21.927000046,49.439998627,56.800003052,,1.2649999857,-14.80000019,,0.200000003
1056.6248779,,18.452999115,-1.131999969,,1.496999979,21.698999405,50.048000336,56.800003052,,1.2710000277,-14.80000019,,0.200000003
1056.7501221,,18.474000931,-1.118999958,,1.503000021,21.417999268,51.131999969,56.800003052,,1.2760000229,-14.80000019,,0.200000003
1056.8751221,,18.48900032,-1.105999947,,1.5069999695,21.107999802,51.881999969,56.800003052,,1.2790000439,-14.80000019,,0.200000003
1057.0001221,,18.496999741,-1.088999987,,1.5119999647,20.798999786,52.215999603,56.800003052,,1.2799999714,-14.80000019,,0.200000003
1057.125,,18.5,-1.070000052,,1.5230000019,20.517999649,52.580001831,56.800003052,,1.2799999714,-14.80000019,,0.200000003
1057.25,,18.5,-1.046000004,,1.5390000343,20.284000397,52.965999603,56.800003052,,1.2890000343,-14.80000019,,0.200000003
1057.375,,18.5,-1.018000007,,1.5609999895,20.093999863,53.263000488,56.800003052,,1.300999999,-14.80000019,,0.200000003
1057.5,,18.5,-0.988300025,,1.5839999914,19.88999939,53.438999176,56.800003052,,1.3099999428,-14.80000019,,0.200000003
1057.6248779,,18.5,-0.960500002,,1.6019999981,19.63299942,51.021999359,56.800003052,,1.3099999428,-14.80000019,,0.200000003
1057.7498779,,18.5,-0.937699974,,1.6130000353,19.320999146,25.903999329,56.800003052,,1.3090000153,-14.80000019,,0.200000003
1057.8751221,,18.5,-0.920000017,,1.6200000048,18.971000671,23.152999878,56.800003052,,1.2970000505,-14.80000019,,0.200000003
1058.0001221,,18.502000809,-0.904600024,,1.6239999533,18.611999512,23.290000916,56.800003052,,1.2860000134,-14.80000019,,0.200000003
1058.1251221,,18.510000229,-0.885900021,,1.6330000162,18.215000153,23.301000595,56.800003052,,1.2799999714,-14.80000019,,0.200000003
1058.25,,18.524000168,-0.861500025,,1.6460000277,17.7310009,23.153999329,56.800003052,,1.2799999714,-14.80000019,,0.200000003
1058.375,,18.545000076,-0.833100021,,1.6619999409,17.204999924,22.705999374,56.800003052,,1.2799999714,-14.80000019,,0.200000003
1058.5,,18.565999985,-0.802600026,,1.6799999475,16.695999146,22.013999939,56.800003052,,1.2799999714,-14.80000019,,0.200000003
1058.625,,18.583999634,-0.772400022,,1.69599998,16.25,21.538000107,56.800003052,,1.2799999714,-14.80000019,,0.200000003
1058.7498779,,18.594999313,-0.744199991,,1.7120000124,15.876000404,21.218999863,56.800003052,,1.2799999714,-14.80000019,,0.200000003
1058.8748779,,18.599000931,-0.718900025,,1.7300000191,15.520000458,20.962999344,56.800003052,,1.2799999714,-14.80000019,,0.200000003
1058.9998779,,18.600000381,-0.694100022,,1.7519999743,15.154000282,20.677000046,56.800003052,,1.2799999714,-14.80000019,,0.200000003
1059.1251221,,18.600000381,-0.667400002,,1.7790000439,14.784999847,20.370000839,56.800003052,,1.2799999714,-14.80000019,,0.200000003
1059.2501221,,18.600000381,-0.637700021,,1.8090000153,14.42800045,19.829000473,56.800003052,,1.2879999876,-14.80000019,,0.200000003
1059.3751221,,18.600000381,-0.605700016,,1.8359999657,14.095999718,19.152999878,56.800003052,,1.3020000458,-14.80000019,,0.200000003
1059.5,,18.600000381,-0.574999988,,1.8509999514,13.800000191,18.513999939,56.800003052,,1.3190000057,-14.80000019,,0.200000003
1059.625,,18.600000381,-0.549300015,,1.8509999514,13.515000343,18.00399971,56.800003052,,1.3370000124,-14.80000019,,0.200000003
1059.75,,18.600000381,-0.529699922,,1.8389999866,13.225999832,17.597999573,56.800003052,,1.3539999723,-14.80000019,,0.200000003
1059.875,,18.600000381,-0.515399992,,1.8190000057,12.925000191,17.614999771,56.800003052,,1.3680000305,-14.80000019,,0.200000003
1059.9998779,,18.600000381,-0.504999995,,1.7970000505,12.611000061,17.857999802,56.800003052,,1.381000042,-14.80000019,,0.200000003
1060.1248779,,18.600000381,-0.496699989,,1.7760000229,12.286999702,18.080999374,56.800003052,,1.3940000534,-14.80000019,,0.200000003
1060.2498779,,18.600000381,-0.485799998,,1.7619999647,11.979999542,18.228000641,56.800003052,,1.4060000181,-14.80000019,,0.200000003
1060.3751221,,18.600000381,-0.468499988,,1.7549999952,11.701999664,18.263999939,56.800003052,,1.4179999828,-14.80000019,,0.200000003
1060.5001221,,18.600000381,-0.444400012,,1.7549999952,11.449999809,17.962999344,56.800003052,,1.4199999571,-14.80000019,,0.200000003
1060.625,,18.600000381,-0.414200008,,1.7610000372,11.225999832,17.424999237,56.800003052,,1.4199999571,-14.80000019,,0.200000003
1060.75,,18.600000381,-0.380299985,,1.7710000277,11.034000397,17.13599968,56.800003052,,1.4229999781,-14.80000019,,0.200000003
1060.875,,18.600000381,-0.346700013,,1.7799999714,10.878000259,17.069000244,56.800003052,,1.4270000458,-14.80000019,,0.200000003
1061.0,,18.600000381,-0.317200005,,1.7860000134,10.751999855,17.181999207,56.800003052,,1.4309999943,-14.80000019,,0.200000003
1061.1248779,,18.600000381,-0.293000013,,1.7860000134,10.642999649,17.461000443,56.800003052,,1.4359999895,-14.80000019,,0.200000003
1061.2498779,,18.600000381,-0.274800003,,1.7819999456,10.546999931,17.87100029,56.800003052,,1.4409999847,-14.80000019,,0.200000003
1061.3748779,,18.600000381,-0.262199998,,1.7740000486,10.461000443,18.138000488,56.800003052,,1.4639999866,-14.80000019,,0.200000003
1061.5001221,,18.600000381,-0.252600014,,1.7649999857,10.383999825,18.311000824,56.800003052,,1.4889999628,-14.80000019,,0.200000003
1061.6251221,,18.600000381,-0.2421,,1.7610000372,10.319000244,18.281000137,56.800003052,,1.5130000114,-14.80000019,,0.200000003
1061.7501221,,18.600000381,-0.230399996,,1.7630000114,10.269000053,17.961000443,56.800003052,,1.5329999924,-14.80000019,,0.200000003
1061.875,,18.600000381,-0.220400006,,1.7699999809,10.234000206,17.430000305,56.800003052,,1.5460000038,-14.80000019,,0.200000003
1062.0,,18.600000381,-0.214599997,,1.7799999714,10.208000183,17.311000824,56.800003052,,1.5340000391,-14.80000019,,0.200000003
1062.125,,18.600000381,-0.214599997,,1.7879999876,10.182999611,17.409000397,56.800003052,,1.5099999905,-14.80000019,,0.200000003
1062.25,,18.600000381,-0.219300002,,1.7899999619,10.152000427,17.892000198,56.800003052,,1.4650000334,-14.80000019,,0.200000003
1062.3748779,,18.600000381,-0.224700004,,1.7849999666,10.126999855,18.777999878,56.800003052,,1.4149999619,-14.80000019,,0.200000003
1062.4998779,,18.600000381,-0.229000002,,1.7749999762,10.118000031,19.896999359,56.800003052,,1.3919999599,-14.80000019,,0.200000003
1062.6248779,,18.600000381,-0.232800007,,1.7630000114,10.130999565,20.676000595,56.800003052,,1.4140000343,-14.80000019,,0.200000003
1062.7501221,,18.600000381,-0.2368,,1.75,10.164999962,21.25,56.800003052,,1.4780000448,-14.80000019,,0.200000003
1062.8751221,,18.600000381,-0.241999999,,1.7389999628,10.208999634,21.599000931,56.800003052,,1.5829999447,-14.80000019,,0.200000003
1063.0,,18.600000381,-0.247400001,,1.7319999933,10.241000175,21.760000229,56.800003052,,1.6440000534,-14.80000019,,0.200000003
1063.125,,18.600000381,-0.251700014,,1.7280000448,10.25,21.794000626,56.800003052,,1.5970000029,-14.80000019,,0.200000003
1063.25,,18.600000381,-0.254599988,,1.7259999514,10.251999855,21.759000778,56.800003052,,1.4609999657,-14.80000019,,0.200000003
1063.375,,18.597999573,-0.256700009,,1.7259999514,10.267000198,21.669000626,56.800003052,,1.3999999762,-14.80000019,,0.200000003
1063.4998779,,18.593000412,-0.258899987,,1.7269999981,10.312999725,21.653999329,56.800003052,,1.3730000257,-14.80000019,,0.200000003
1063.6248779,,18.579999924,-0.261400014,,1.7300000191,10.404999733,21.695999146,56.800003052,,1.3730000257,-14.80000019,,0.200000003
1063.7498779,,18.559999466,-0.264299989,,1.7339999676,10.5,21.826999664,56.800003052,,1.3910000324,-14.80000019,,0.200000003
1063.8751221,,18.541000366,-0.268099993,,1.7369999886,10.56499958,22.097000122,56.800003052,,1.4149999619,-14.80000019,,0.200000003
1064.0001221,,18.527000427,-0.273699999,,1.7389999628,10.649000168,22.472999573,56.800003052,,1.4229999781,-14.80000019,,0.200000003
1064.1251221,,18.524000168,-0.281500012,,1.7400000095,10.829000473,22.61400032,56.800003052,,1.4279999733,-14.80000019,,0.200000003
1064.25,,18.528999329,-0.290899992,,1.7400000095,11.187000275,22.615999222,56.800003052,,1.4270000458,-14.80000019,,0.200000003
1064.375,,18.534000397,-0.301400006,,1.7389999628,11.644000053,22.541000366,56.800003052,,1.4229999781,-14.80000019,,0.200000003
1064.5,,18.530000687,-0.316500008,,1.7309999466,12.050000191,22.434000015,56.800003052,,1.4179999828,-14.80000019,,0.200000003
1064.625,,18.513999939,-0.345400006,,1.7079999447,12.446000099,22.305999756,56.800003052,,1.4099999666,-14.80000019,,0.200000003
1064.7498779,,18.483999252,-0.399699986,,1.6640000343,12.914999962,22.365999222,56.800003052,,1.4019999504,-14.80000019,,0.200000003
1064.8748779,,18.440000534,-0.490500003,,1.5939999819,13.543000221,22.521999359,56.800003052,,1.4069999456,-14.80000019,,0.200000003
1064.9998779,,18.388999939,-0.626699984,,1.5010000467,14.411000252,22.465999603,56.800003052,,1.4160000086,-14.80000019,,0.200000003
1065.1251221,,18.341999054,-0.797200024,,1.4090000391,15.557999611,22.1439991,56.800003052,,1.4240000248,-14.80000019,,0.200000003
1065.2501221,,18.312000275,-0.959399998,,1.3539999723,16.997999191,21.604999542,56.800003052,,1.4329999685,-14.80000019,,0.200000003
1065.375,,18.298000336,-1.082999945,,1.3489999771,18.756999969,20.76099968,56.800003052,,1.442999959,-14.80000019,,0.200000003
1065.5,,18.295000076,-1.15199995,,1.3960000277,20.75399971,19.709999084,56.800003052,,1.4550000429,-14.80000019,,0.200000003
1065.625,,18.298000336,-1.172999978,,1.4769999981,22.787000656,19.0189991,56.800003052,,1.4650000334,-14.80000019,,0.200000003
1065.75,,18.299999237,-1.184000015,,1.5559999943,24.302000046,18.653999329,56.800003052,,1.4700000286,-14.80000019,,0.200000003
1065.8748779,,18.299999237,-1.197000027,,1.6200000048,25.017999649,18.569999695,56.800003052,,1.4689999819,-14.80000019,,0.200000003
1065.9998779,,18.299999237,-1.202000022,,1.6779999733,25.479000092,18.792999268,56.800003052,,1.4659999609,-14.80000019,,0.200000003
1066.1248779,,18.299999237,-1.200999975,,1.7280000448,26.232999802,19.25799942,56.800003052,,1.4570000172,-14.80000019,,0.200000003
1066.2501221,,18.299999237,-1.19599998,,1.7680000067,27.561000824,19.430000305,56.800003052,,1.4509999752,-14.80000019,,0.200000003
1066.3751221,,18.299999237,-1.190000057,,1.7920000553,29.201000214,19.402000427,56.800003052,,1.4470000267,-14.80000019,,0.200000003
1066.5001221,,18.299999237,-1.184999943,,1.7960000038,29.61300087,19.256999969,56.800003052,,1.4450000525,-14.80000019,,0.200000003
1066.625,,18.299999237,-1.182999969,,1.7890000343,29.263000488,19.059999466,56.800003052,,1.442999959,-14.80000019,,0.200000003
1066.75,,18.299999237,-1.19599998,,1.7699999809,28.774999619,18.823999405,56.800003052,,1.4409999847,-14.80000019,,0.200000003
1066.875,,18.299999237,-1.235000014,,1.7380000353,29.075000763,18.429000854,56.800003052,,1.4329999685,-14.80000019,,0.200000003
1067.0,,18.299999237,-1.304999948,,1.69599998,31.240999222,17.947999954,56.800003052,,1.4210000038,-14.80000019,,0.200000003
1067.1248779,,18.299999237,-1.389000058,,1.6599999666,36.668998718,17.499000549,56.800003052,,1.4049999714,-14.80000019,,0.200000003
1067.2498779,,18.299999237,-1.419999957,,1.6610000134,44.238998413,17.131999969,56.800003052,,1.3849999905,-14.80000019,,0.200000003
1067.3748779,,18.299999237,-1.376000047,,1.7029999495,51.361000061,16.870000839,56.800003052,,1.3630000353,-14.80000019,,0.200000003
1067.5001221,,18.299999237,-1.284000039,,1.7649999857,55.458999634,17.260000229,56.800003052,,1.3320000172,-14.80000019,,0.200000003
1067.6251221,,18.299999237,-1.187999964,,1.82099998,54.763999939,18.027999878,56.800003052,,1.2979999781,-14.80000019,,0.200000003
1067.7501221,,18.299999237,-1.123999953,,1.8519999981,48.972000122,18.858999252,56.800003052,,1.2730000019,-14.80000019,,0.200000003
1067.875,,18.299999237,-1.106999993,,1.8539999723,41.830001831,19.684999466,56.800003052,,1.2549999952,-14.80000019,,0.200000003
1068.0,,18.299999237,-1.106999993,,1.8489999771,36.630001068,20.441999435,56.800003052,,1.2380000353,-14.80000019,,0.200000003
1068.125,,18.299999237,-1.113000035,,1.8450000286,33.411998749,20.926000595,56.800003052,,1.2250000238,-14.80000019,,0.200000003
1068.2498779,,18.299999237,-1.118000031,,1.8439999819,31.607999802,21.201000214,56.800003052,,1.2120000124,-14.80000019,,0.200000003
1068.3748779,,18.299999237,-1.121999979,,1.8439999819,30.469999313,21.288999557,56.800003052,,1.19599998,-14.57900047,,0.200000003
1068.4998779,,18.299999237,-1.126999974,,1.8420000076,29.88999939,21.23800087,56.800003052,,1.1799999475,-13.59799957,,0.200000003
1068.6251221,,18.299999237,-1.133999944,,1.8350000381,30.431999207,21.045999527,56.800003052,,1.1660000086,-9.63599968,,0.200000003
1068.7501221,,18.299999237,-1.14199996,,1.8250000477,31.36300087,20.684000015,56.800003052,,1.1579999924,-0.894699991,,0.200000003
1068.8751221,,18.299999237,-1.146000028,,1.8129999638,32.237998962,20.191999435,56.800003052,,1.1510000229,10.836999893,,0.200000003
1069.0,,18.299999237,-1.146000028,,1.7979999781,32.758998871,19.8560009,56.800003052,,1.1499999762,23.271999359,,0.200000003
1069.125,,18.299999237,-1.141000032,,1.7790000439,32.810001373,19.61400032,56.800003052,,1.1480000019,34.080001831,,0.200000003
1069.25,,18.299999237,-1.139000058,,1.7580000162,32.539001465,19.517000198,56.800003052,,1.1430000067,41.386001587,,0.200000003
1069.375,,18.299999237,-1.144000053,,1.7350000143,32.293998718,19.590000153,56.800003052,,1.1349999905,44.293998718,,0.200000003
1069.4998779,,18.299999237,-1.15199995,,1.7130000591,32.136001587,19.781999588,56.800003052,,1.1299999952,45.942001343,,0.200000003
1069.6248779,,18.299999237,-1.161000013,,1.692999959,32.060001373,19.959999084,56.800003052,,1.1299999952,46.917999268,,0.200000003
1069.7498779,,18.299999237,-1.167999983,,1.675999999,32.01499939,20.12899971,56.800003052,,1.1299999952,47.536998749,,0.200000003
1069.8751221,,18.299999237,-1.174000025,,1.6599999666,31.909999847,20.284000397,56.800003052,,1.1299999952,47.939998627,,0.200000003
1070.0001221,,18.299999237,-1.179999948,,1.6440000534,31.459999084,20.423000336,56.800003052,,1.128000021,48.282001495,,0.200000003
1070.1251221,,18.299999237,-1.187999964,,1.628000021,30.708999634,20.517000198,56.800003052,,1.1230000257,48.597999573,,0.200000003
1070.25,,18.299999237,-1.19599998,,1.6150000095,30.1439991,20.351999283,56.800003052,,1.1150000095,48.76599884,,0.200000003
1070.375,,18.299999237,-1.202000022,,1.6069999933,30.50799942,20.0189991,56.800003052,,1.1130000353,48.77399826,,0.200000003
1070.5,,18.299999237,-1.202999949,,1.6059999466,32.537998199,19.596000671,56.800003052,,1.1160000563,48.685001373,,0.200000003
1070.6248779,,18.299999237,-1.197000027,,1.6119999886,35.48400116,19.108999252,56.800003052,,1.1230000257,48.645999908,,0.200000003
1070.7498779,,18.299999237,-1.190000057,,1.621999979,36.706001282,18.663000107,56.800003052,,1.1339999437,48.85900116,,0.200000003
1070.8748779,,18.299999237,-1.187000036,,1.6360000372,36.748001099,18.454999924,56.800003052,,1.1469999552,49.229000092,,0.200000003
1071.0001221,,18.299999237,-1.18900001,,1.6519999504,36.192001343,18.434999466,56.800003052,,1.1549999714,49.657001495,,0.200000003
1071.1251221,,18.299999237,-1.194000006,,1.6690000296,35.490001678,18.427000046,56.800003052,,1.1610000134,50.051998138,,0.2001000047
1071.2501221,,18.299999237,-1.195000052,,1.6829999685,34.662998199,18.427000046,56.800003052,,1.1679999828,50.337001801,,0.2003999949
1071.375,,18.299999237,-1.18900001,,1.682000041,33.455001831,18.430000305,56.800003052,,1.1740000248,50.424999237,,0.2006999999
1071.5,,18.299999237,-1.184999943,,1.6679999828,32.241001129,18.429000854,56.800003052,,1.182000041,50.270000458,,0.2025000006
1071.625,,18.299999237,-1.18599999,,1.6440000534,32.259998322,18.427000046,56.800003052,,1.1979999542,49.875999451,,0.2045000046
1071.75,,18.299999237,-1.197000027,,1.6150000095,34.327999115,18.714000702,56.800003052,,1.2150000334,49.277000427,,0.2065999955
1071.8748779,,18.299999237,-1.213999987,,1.5880000591,38.679000854,19.162000656,56.800003052,,1.2139999866,48.458000183,,0.2088000029
1071.9998779,,18.299999237,-1.23300004,,1.5690000057,44.549999237,19.458999634,56.800003052,,1.2050000429,47.334999084,,0.2109999955
1072.1248779,,18.299999237,-1.246999979,,1.5590000153,48.048000336,19.472000122,56.800003052,,1.1979999542,45.737998962,,0.2113000005
1072.2501221,,18.299999237,-1.256000042,,1.5559999943,46.842998505,19.320999146,56.800003052,,1.1940000057,43.790000916,,0.2117000073
1072.3751221,,18.299999237,-1.261000037,,1.5590000153,42.386001587,19.638000488,56.800003052,,1.1900000572,41.76499939,,0.2118999958
1072.5001221,,18.299999237,-1.261999965,,1.5640000105,36.865001678,20.215999603,56.800003052,,1.1859999895,39.978000641,,0.2118999958
1072.625,,18.299999237,-1.258000016,,1.5720000267,31.951000214,20.86300087,56.800003052,,1.1809999943,38.717998505,,0.2118999958
1072.75,,18.299999237,-1.248000026,,1.5789999962,30.021999359,21.528999329,56.800003052,,1.1770000458,38.173999786,,0.2118999958
1072.875,,18.298999786,-1.233999968,,1.5850000381,29.506999969,22.038000107,56.800003052,,1.1720000505,38.25,,0.2118999958
1072.9998779,,18.297000885,-1.218999982,,1.5889999866,29.336999893,21.787000656,56.800003052,,1.1670000553,38.402999878,,0.2118999958
1073.1248779,,18.291000366,-1.20599997,,1.5900000334,29.069999695,20.972999573,56.800003052,,1.1579999924,38.467998505,,0.2117999941
1073.2498779,,18.281000137,-1.200999975,,1.5909999609,28.750999451,20.493999481,56.800003052,,1.1519999504,38.466999054,,0.2117999941
1073.3751221,,18.267999649,-1.202999949,,1.5909999609,28.798999786,20.301000595,56.800003052,,1.1499999762,38.60100174,,0.2117999941
1073.5001221,,18.25799942,-1.210000038,,1.5920000076,29.63999939,20.281000137,56.800003052,,1.1510000229,39.310001373,,0.2118999958
1073.6251221,,18.249000549,-1.215999961,,1.5950000286,30.658000946,20.327999115,56.800003052,,1.1529999971,40.236000061,,0.2118999958
1073.75,,18.23900032,-1.218999982,,1.5970000029,31.284000397,20.426000595,56.800003052,,1.1569999456,40.627998352,,0.2118999958
1073.875,,18.228000641,-1.22300005,,1.6000000238,31.226999283,20.253000259,56.800003052,,1.1569999456,40.041000366,,0.2118999958
1074.0,,18.215999603,-1.228000045,,1.6080000401,30.631000519,19.910999298,56.800003052,,1.1540000439,38.304000854,,0.2118999958
1074.125,,18.207000732,-1.238000035,,1.628000021,30.180000305,19.61400032,56.800003052,,1.1510000229,35.606998444,,0.2118999958
1074.2498779,,18.201999664,-1.246999979,,1.6569999456,30.180000305,19.504999161,56.800003052,,1.1499999762,32.86700058,,0.2118999958
1074.3748779,,18.200000763,-1.251999974,,1.6859999895,30.454999924,19.531999588,56.800003052,,1.1499999762,30.76199913,,0.2118999958
1074.4998779,,18.200000763,-1.251000047,,1.7070000172,30.823999405,19.395000458,56.800003052,,1.1499999762,29.63699913,,0.2118999958
